Date,US Equity,TH Equity,JP Equity,Gold,BTC,Cash / Reduced Exposure,Strategy,JP Sleeve Mode,JP Assets,JP Internal Cap
2024-12-17,0.19999999999999998,0.09999999999999999,0.19999999999999998,0.3,0.1,0.09999999999999998,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-18,0.19999999999999998,0.0,0.19999999999999998,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-19,0.19999999999999998,0.09999999999999999,0.19999999999999998,0.3,0.1,0.09999999999999998,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-20,0.19999999999999998,0.0,0.19999999999999998,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-23,0.19999999999999998,0.0,0.19999999999999998,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-24,0.19999999999999998,0.0,0.19999999999999998,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-25,0.19999999999999998,0.0,0.19999999999999998,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-26,0.19999999999999998,0.0,0.09999999999999999,0.3,0.1,0.30000000000000004,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-27,0.19999999999999998,0.0,0.19999999999999998,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
2024-12-30,0.19999999999999998,0.0,0.19999999999999998,0.3,0.1,0.20000000000000007,Stock60/Gold30/BTC10 Index signal leaves inactive equity in cash + weekly exposure all assets + gold drawdown 252d warn10 crash20,JP optimized min_vol_mom_tilt top15 cap12%,15,0.12
