,One-model US cap 70% / TH cap 30%,One-model US cap 70% / TH cap 30% + daily exposure,One-model US cap 70% / TH cap 40%,One-model US cap 70% / TH cap 40% + daily exposure,One-model US cap 80% / TH cap 30%,One-model US cap 80% / TH cap 30% + daily exposure,One-model US cap 80% / TH cap 40%,One-model US cap 80% / TH cap 40% + daily exposure
2008-08-19,10383.516848908734,9567.030257985827,10338.139683773728,9543.467610898644,10364.614428087061,9564.596219625295,10319.31986124143,9541.039560452964
2008-08-20,10412.262483698234,9580.272898307881,10366.759696826804,9556.67763591041,10393.307733584523,9577.835490762378,10347.887773666831,9554.246224568204
2008-08-21,10530.65077813479,9634.737149974759,10484.630620774646,9611.007747524805,10511.48051092852,9632.28588566553,10465.5441222715,9608.56251350754
2008-08-22,10593.128043820432,9663.31810120999,10546.834853609911,9639.51830671055,10573.844041394683,9660.859565351513,10527.635116878364,9637.065819032587
2008-08-25,10440.994359373375,9593.928012624277,10395.366010894437,9570.29911903396,10421.987305015069,9591.487130952408,10376.44201204478,9567.864242111997
2008-08-26,10644.39571591243,9687.377827131357,10597.87848006723,9663.51877591216,10625.01838449935,9684.913170011187,10578.585822169913,9661.060182031262
2008-08-27,10679.26367097628,9703.244348058326,10632.594058149572,9679.346219171031,10659.822865042053,9700.775654186986,10613.238203097004,9676.88359846967
2008-08-28,10722.686084253668,9722.971283322504,10675.826710477322,9699.024568949304,10703.1662310428,9720.497570535588,10656.39215356259,9696.556941679273
2008-08-29,10603.096698534679,9668.751465918567,10556.759944154355,9644.938289580494,10583.794548913796,9666.291547706554,10537.542139525844,9642.484422949685
2008-09-01,10614.001981516067,9673.723620460323,10567.617569792486,9649.898198198533,10594.679979637893,9671.262437235597,10548.37999965549,9647.443069667035
2008-09-02,10552.580871149845,9645.733666850962,10506.464876756194,9621.977181070095,10553.998461811003,9652.694550522403,10507.876264778597,9628.920913831425
2008-09-03,10492.456657228606,9618.25497886485,10446.603412577977,9594.566170368365,10468.058463519388,9613.394158534331,10422.311834244407,9589.717314841004
2008-09-04,10412.191904106123,9581.466317897839,10366.689425675644,9557.868116226231,10358.067788958917,9562.888913841734,10312.801831685372,9539.336459595523
2008-09-05,10393.594054835332,9572.909298011222,10348.17285114922,9549.332171431282,10328.983054384833,9549.46295006705,10283.844200773803,9525.943562648277
2008-09-08,10443.602774834795,9595.939297939003,10397.963027279719,9572.305450752347,10397.19766024894,9580.996202078542,10351.760700900682,9557.399151363465
2008-09-09,10288.9465518184,9524.887585224982,10243.98266977913,9501.428731362948,10240.0564481068,9508.593550617947,10195.306214076398,9485.174820507782
2008-09-10,10281.93397224716,9521.641673130769,10237.000735988684,9498.190813628436,10273.353777206585,9524.05297558965,10228.458029987134,9500.596170437246
2008-09-11,10355.305495982822,9555.614725277783,10310.051617710933,9532.080193515969,10386.914362483449,9576.691921622809,10341.522342338794,9553.10547192688
2008-09-12,10403.870613712412,9578.022058132026,10358.404500279827,9554.43233933077,10413.335185469428,9588.871866177196,10367.827703264784,9565.25541847654
