Date,S&P 500 Buy Hold
2019-03-25,14794.4059774946
2019-03-26,14904.684286625186
2019-03-27,14826.746055266689
2019-03-28,14882.947616096855
2019-03-29,14976.794101534797
2019-04-01,15154.409030902292
2019-04-02,15161.82342322926
2019-04-03,15185.683110165164
2019-04-04,15225.979111099148
2019-04-05,15299.675799947923
2019-04-08,15311.339817334385
2019-04-09,15232.870831873995
2019-04-10,15284.829054072268
2019-04-11,15280.58661350146
2019-04-12,15383.974997979372
2019-04-15,15373.904140959678
2019-04-16,15383.974997979372
2019-04-17,15346.32827724943
2019-04-18,15376.549828919375
2019-04-22,15389.805210550434
2019-04-23,15528.187443309904
2019-04-24,15493.727043313496
2019-04-25,15484.177061723749
2019-04-26,15556.287774694447
2019-04-29,15580.675521548985
2019-04-30,15588.62875052762
2019-05-01,15471.456924500013
2019-05-02,15438.052644340876
2019-05-03,15589.162198812772
2019-05-06,15525.008307065056
2019-05-07,15265.747052114495
2019-05-08,15244.534849260459
2019-05-09,15198.408635755415
2019-05-10,15274.75460480823
2019-05-13,14890.895456708975
2019-05-14,15025.565104938447
2019-05-15,15113.577785560983
2019-05-16,15253.553178687222
2019-05-17,15154.933498576582
2019-05-20,15054.727842587861
2019-05-21,15190.462591265466
2019-05-22,15143.799337230925
2019-05-23,14958.761932986688
2019-05-24,14992.69427306446
2019-05-28,14853.255022406629
2019-05-29,14753.578324397631
2019-05-30,14793.874325331615
2019-05-31,14594.523623496876
2019-06-03,14557.409452990996
2019-06-04,14873.40571705688
2019-06-05,15002.23437598226
2019-06-06,15099.79254788911
2019-06-07,15250.893121750145
2019-06-10,15320.882614435435
2019-06-11,15317.168233783264
2019-06-12,15290.134798969028
2019-06-13,15353.21999802427
2019-06-14,15336.25742022973
2019-06-17,15342.085836678614
2019-06-18,15502.732799885052
2019-06-19,15537.730240410958
2019-06-20,15686.179737945782
2019-06-21,15663.376170847148
2019-06-24,15644.200770536418
2019-06-25,15490.768830095829
2019-06-26,15475.313198803788
2019-06-27,15530.190119531935
